key,value
Dashboard, Tablero
Reports, Raportes
Account, Cuenta,
Description, Descripción
Balance Sheet, Hoja de balance
Profit & Loss, Ganancia y perdida
Contingent Liability, Pasivo contingente
CONTINGENT LIABILITIES, PASIVO CONTINGENTE
Sub Report I, Sub Raporte I
Sub Report II, Sub Raporte II
FC, ME
NON RESIDENT, NO RESIDENTE
RESIDENT, RESIDENTE
GUARANTEES ISSUED, GARANTÍAS EMITIDAS
COMMITMENTS, COMPROMISOS
RISK PARTICIPATIONS, PARTICIPACIONES DE RIESGO
REPO-STYLE TRANSACTIONS, TRANSACCIONES REPO-STYLE